Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Flag,2834,148,135,170,214,627,91,817,0.00%,.4,.2,70.67
Tag,2836,147,137,169,188,463,91,1149,0.00%,.4,.3,66.08
DS_objects_Query_API,6992,279,253,328,422,861,177,1141,0.00%,1.0,1.1,110.32
Custom_Fields,2806,248,216,319,443,821,154,1015,0.00%,.4,8.0,109.76
ReadColumnAPI,2786,331,296,416,541,993,213,1298,0.00%,.4,.3,134.63
CreateArticleSimple,692,417,379,548,621,1074,269,1217,0.00%,.1,.1,136.42
SimpleArticlesCreate,692,417,379,548,621,1074,269,1217,0.00%,.1,.1,136.42
Read Articles,2740,493,455,669,753,1102,320,1636,0.00%,.4,3.7,150.31
Update column values API,6916,386,354,500,595,975,246,2317,0.00%,1.0,.6,127.62
update articles API,654,1013,1046,1423,1545,1807,106,2164,0.00%,.1,.1,366.88
update complex articles API,654,1013,1046,1423,1545,1807,106,2164,0.00%,.1,.1,366.88
Login,25,2215,2023,2823,3076,3822,1451,3822,0.00%,.5,61.3,587.96
Homepage,25,7336,6965,9870,11076,12069,4026,12069,0.00%,.4,419.4,2248.37
datasources,273,1584,1520,2022,2156,2577,1032,2773,0.00%,.0,7.7,311.50
datasource,273,1584,1520,2022,2156,2577,1032,2773,0.00%,.0,7.7,311.50
DS Page,148,1404,1339,1733,1911,1997,972,2107,0.00%,.0,.5,223.52
schema,546,1131,1020,1791,2102,2490,627,2744,0.00%,.1,1.2,414.24
Compose-Home,12,9435,8541,13739,13739,14390,6498,14390,0.00%,.2,215.7,2541.93
DS Selection,147,3907,3829,4572,4846,5688,3096,5759,0.00%,.0,1.0,503.84
Compose-Connection-settings,757,2004,1940,2411,2581,2935,1439,4029,0.00%,.1,.9,307.53
HTTP Request-executesession,1209,207,192,248,292,734,114,958,0.00%,.2,.3,83.43
Compose-Query-Run,453,571,376,1607,1911,2306,254,3922,0.00%,.1,.3,521.23
query_run,453,387,365,494,577,801,252,1260,0.00%,.1,.1,110.42
Search,384,9609,9388,11230,11805,12818,7363,14455,0.00%,.1,248.9,1155.48
table,546,3977,3952,4799,5103,5549,2685,6389,0.00%,.1,4.5,649.32
Schema Selection,62,4449,4469,5050,5195,5463,3509,5653,0.00%,.0,.3,454.53
Domain,100,533,475,678,877,1127,340,1243,0.00%,.0,.3,167.90
Table selection,59,5442,5398,6260,6310,6657,4334,6761,0.00%,.0,.9,529.17
column,546,1643,1572,2093,2297,2675,1050,2928,0.00%,.1,3.2,327.05
Lineage- 500 to1k df,47,1536,1443,1935,2010,2146,1162,2146,0.00%,.0,.5,247.57
Open Domain,100,7895,7851,9162,9423,10337,6198,10613,0.00%,.0,.4,911.34
Create Glosary,44,21015,20748,22407,23319,27722,18449,27722,0.00%,.0,1.1,1448.46
query,545,341,317,436,488,922,0,1049,0.00%,.1,.1,120.35
connectors,543,172,148,209,305,730,0,869,0.00%,.1,.1,109.06
Document hub,99,7927,8060,8969,9177,9441,5997,9985,0.00%,.0,2.0,801.59
term,541,255,237,304,352,762,0,775,0.00%,.1,.0,81.64
CreateArticle,30,40369,39631,43302,43444,44944,37817,44944,0.00%,.0,2.4,1893.26
Compose-Queryfetchresults,452,2565,2550,3240,3392,4064,1603,4564,33.63%,.1,14.9,542.66
Result Latest,903,223,203,266,341,745,116,1059,33.67%,.1,.1,94.94
Open Folder,99,9688,9810,10750,11171,11809,7467,11915,37.37%,.0,1.4,935.26
Open Document,99,9252,9106,10451,10697,11705,7275,12108,23.23%,.0,.9,944.27
Govern,99,831,799,938,1104,1528,628,1720,0.00%,.0,.4,179.58
Export-Query-Run,452,550,395,911,1820,2073,291,2662,0.00%,.1,.3,438.16
query_export,452,401,381,500,557,704,287,1032,0.00%,.1,.1,85.67
Launch Workflows,99,3645,3556,4187,4563,4816,2782,5114,0.00%,.0,2.6,476.03
Compose-export-Connection-settings,148,2119,2078,2510,2654,2828,1645,2970,0.00%,.0,.2,264.01
Compose-Export-Queryfetchresults,451,2510,2431,3314,3487,3816,1455,4825,33.70%,.1,28.0,596.90
Column Selection,12,5027,4788,5923,5923,6026,4309,6026,0.00%,.0,.1,532.92
Logout,25,447,491,601,621,635,276,635,0.00%,.2,11.0,119.47
TOTAL,41860,774,311,1656,2876,9264,0,44944,1.60%,5.7,344.6,1884.00
