,lower AMZN_diff,upper AMZN_diff,lower META_diff,upper META_diff,lower GOOG_diff,upper GOOG_diff,lower ORCL_diff,upper ORCL_diff,lower MSFT_diff,upper MSFT_diff
2022-01-01,-12.728874632874662,7.421505776259801,-21.655295595801512,20.291487724243225,-5.267017584426125,6.22203968071051,-4.919751842255517,3.5058254358073224,-12.11850100748104,15.24239256852028
2022-01-02,-7.350007603833875,12.812100748158388,-17.452544989279716,24.505520334823025,-3.055319527727697,8.474669985861462,-3.237882229638612,5.1898891657383315,-13.668756234382826,14.036377874326206
2022-01-03,-8.582370342855397,11.579811162528282,-10.618029735446715,31.34010179371528,-5.106844936255219,6.423637820616849,-3.649687789279411,4.778096485002359,-9.140081487466919,18.57547456898125
2022-01-04,-14.12525074597695,6.036928760162914,-32.77408181530415,9.184048257764312,-9.860229905790238,1.6702404131456179,-4.813272160464197,3.61451183351764,-21.44259110782923,6.272990583319646
2022-01-05,-12.780548226149868,7.381631353800412,-28.77084072818229,13.187289382586183,-6.955894295739302,4.574577329241176,-7.232964851185173,1.1948191499590304,-14.496613887834986,13.219008069864547
2022-01-06,-12.645462471041709,7.5167171064764435,-24.048671372459044,17.909458737826373,-6.240885486228118,5.289586027396021,-6.868236894684413,1.5595471063818285,-18.81924204002782,8.896374577869409
2022-01-07,-9.80275334489728,10.35942623295957,-18.687198165663617,23.270931945110853,-5.9853646413267505,5.545106882103527,-4.540163083603347,3.8876209175665997,-12.698828768937663,15.016788740505909
2022-01-08,-15.135731066639497,8.29713638073493,-24.26401759927428,23.292112261055994,-5.509195328812972,8.160296286202486,-5.684118244178257,4.194573074064482,-12.226888999379486,19.88305821287403
2022-01-09,-8.483648810469052,14.951958686145975,-15.928732108154675,31.629152005475042,-4.099296366877576,9.583113114459685,-3.9869265202251936,5.8922277860765755,-13.217214110189184,18.991444735011207
2022-01-10,-11.215987082428358,12.21967062238562,-13.150052172767879,34.407875377250654,-6.113158414780766,7.569511759706269,-4.752336826538613,5.126827394779751,-10.779270764478152,21.433183012929245
2022-01-11,-14.783714340907899,8.65194173705462,-36.146497506411116,11.411428995743352,-11.069653116927707,2.6130048287221745,-5.461618949997357,4.417545036302927,-22.80240812437699,9.40994590546587
2022-01-12,-14.335879086320732,9.099777051596488,-32.5382559812818,15.019670548576793,-7.4672976274195,6.215361456448132,-7.143512001011011,2.735651991420093,-15.89979518917133,16.31258826261535
2022-01-13,-13.363832045797512,10.071824090484942,-22.547063657293982,25.010862872845884,-7.194735670132724,6.4879233159770155,-7.260864165298232,2.618299827203904,-21.490064432927625,10.722314620095624
2022-01-14,-12.51851750367027,10.917138633216302,-25.243589923492934,22.314336607626394,-7.438102314500982,6.24455668040496,-5.345899032669854,4.5332649600553765,-16.45844799970428,15.753931772198083
