Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date
Tag,2842,122,104,144,215,645,58,1091,0.00%,0.4,0.3,86.57,2024-11
Flag,2844,116,102,137,202,404,59,1231,0.00%,0.4,0.2,76.53,2024-11
Custom_Fields,2816,218,188,294,438,802,113,1126,0.00%,0.4,8.0,113.59,2024-11
DS_objects_Query_API,7004,258,222,347,450,899,147,1863,0.00%,1.0,1.2,131.99,2024-11
ReadColumnAPI,2788,316,275,423,591,1007,185,1365,0.00%,0.4,0.4,149.42,2024-11
CreateArticleSimple,687,480,425,670,849,1225,287,1461,0.00%,0.1,0.1,182.62,2024-11
SimpleArticlesCreate,687,480,425,670,849,1225,287,1461,0.00%,0.1,0.1,182.62,2024-11
Read Articles,2724,555,507,742,896,1297,343,1556,0.00%,0.4,3.7,175.4,2024-11
Update column values API,6900,410,371,560,651,1057,234,1511,0.00%,1.0,0.6,140.77,2024-11
update articles API,643,1207,1338,1769,1982,2207,90,2482,0.00%,0.1,0.1,550.15,2024-11
update complex articles API,643,1207,1338,1769,1982,2207,90,2482,0.00%,0.1,0.1,550.15,2024-11
Login,25,2400,2528,2919,3384,3470,1572,3470,0.00%,0.5,17.0,541.92,2024-11
Homepage,25,7250,8604,10768,11087,12209,3206,12209,0.00%,0.4,377.3,2852.49,2024-11
datasources,264,1718,1638,2254,2381,2811,1203,3174,0.00%,0.0,0.1,331.97,2024-11
datasource,264,1718,1638,2254,2381,2811,1203,3174,0.00%,0.0,0.1,331.97,2024-11
DS Page,139,1537,1473,2058,2108,2293,1104,2535,0.00%,0.0,0.5,298.45,2024-11
schema,528,1246,1170,1870,2091,2471,732,2740,0.00%,0.1,1.1,406.93,2024-11
DS Selection,139,4358,4246,5123,5280,6478,3328,6539,0.00%,0.0,0.9,585.71,2024-11
Compose-Connection-settings,753,2160,2095,2647,2809,3078,1465,4038,0.00%,0.1,1.0,347.65,2024-11
HTTP Request-executesession,1199,211,190,261,340,751,123,1025,0.00%,0.2,0.2,91.97,2024-11
Compose-Query-Run,452,643,413,1776,2092,2665,268,4135,0.00%,0.1,0.4,587.37,2024-11
query_run,452,423,386,571,660,987,261,1516,0.00%,0.1,0.1,136.31,2024-11
Schema Selection,57,5056,5071,5792,5923,6120,4078,6304,0.00%,0.0,0.3,533.99,2024-11
table,528,5934,5874,7066,7423,8482,4377,8551,0.00%,0.1,0.9,832.13,2024-11
Domain,93,546,519,680,749,914,367,1017,0.00%,0.0,0.3,118.4,2024-11
Table selection,56,5944,5863,6834,7058,7365,4770,7647,0.00%,0.0,0.4,660.96,2024-11
Search,361,17093,16858,19345,20480,21995,13435,23986,0.28%,0.1,18.1,1738.8,2024-11
Lineage- 500 to1k df,46,1738,1635,2266,2436,2632,1282,2632,0.00%,0.0,0.5,358.76,2024-11
column,527,2230,2189,2733,2912,3108,0,3202,0.00%,0.1,3.1,368.87,2024-11
query,524,383,341,524,631,1133,0,1250,0.00%,0.1,0.2,150.86,2024-11
connectors,522,182,160,213,289,817,113,1075,0.00%,0.1,0.1,104.17,2024-11
Open Domain,93,10427,10258,12257,12760,13526,7587,13741,1.08%,0.0,0.3,1195.37,2024-11
